PAN	Title	ISSN	eISSN
2010123145	txtonly	txtonly	txtonly
2010809234	txtonly	txtonly	txtonly
2010908730	txtonly	txtonly	txtonly
2010123767	txtonly	txtonly	txtonly
datonly	717	717	717
datonly	4342	4342	4342
datonly	4191	4191	4191
datonly	5860	5860	5860
datonly	5050	5050	5050
datonly	59574	59574	59574
datonly	67239	67239	67239
datonly	45967	45967	45967
datonly	9311	9311	9311
datonly	2792	2792	2792
datonly	4059	4059	4059
datonly	776	776	776
datonly	796	796	796
datonly	798	798	798
datonly	803	803	803
datonly	58872	58872	58872
datonly	826	826	826
datonly	818	818	818
datonly	56761	56761	56761
datonly	4043	4043	4043
datonly	3373	3373	3373
datonly	9714	9714	9714
datonly	32178	32178	32178
datonly	4064	4064	4064
datonly	1417	1417	1417
datonly	682	682	682
datonly	32163	32163	32163
datonly	39526	39526	39526
datonly	3100	3100	3100
datonly	2958	2958	2958
datonly	4739	4739	4739
datonly	2080	2080	2080
datonly	2786	2786	2786
datonly	7236	7236	7236
datonly	2081	2081	2081
datonly	6989	6989	6989
datonly	7664	7664	7664
datonly	3353	3353	3353
datonly	8087	8087	8087
datonly	886	886	886
datonly	68615	68615	68615
datonly	31976	31976	31976
datonly	61787	61787	61787
datonly	66135	66135	66135
datonly	44265	44265	44265
datonly	53180	53180	53180
datonly	7041	7041	7041
datonly	3280	3280	3280
datonly	5767	5767	5767
datonly	933	933	933
datonly	934	934	934
datonly	937	937	937
datonly	3709	3709	3709
datonly	939	939	939
datonly	3683	3683	3683
datonly	62547	62547	62547
datonly	948	948	948
datonly	5743	5743	5743
datonly	48961	48961	48961
datonly	2793	2793	2793
datonly	960	960	960
datonly	2616	2616	2616
datonly	2871	2871	2871
datonly	5016	5016	5016
datonly	61788	61788	61788
datonly	39546	39546	39546
datonly	53174	53174	53174
datonly	36432	36432	36432
datonly	52927	52927	52927
datonly	4311	4311	4311
datonly	997	997	997
datonly	1006	1006	1006
datonly	2428	2428	2428
datonly	2029	2029	2029
datonly	1038	1038	1038
datonly	5964	5964	5964
datonly	4382	4382	4382
datonly	1049	1049	1049
datonly	4622	4622	4622
datonly	1053	1053	1053
datonly	70728	70728	70728
datonly	69229	69229	69229
datonly	69230	69230	69230
datonly	3815	3815	3815
datonly	2518	2518	2518
datonly	5376	5376	5376
datonly	191	191	191
datonly	45635	45635	45635
datonly	3756	3756	3756
datonly	60946	60946	60946
datonly	7756	7756	7756
datonly	2722	2722	2722
datonly	4749	4749	4749
datonly	3290	3290	3290
datonly	45533	45533	45533
datonly	4437	4437	4437
datonly	1110	1110	1110
datonly	63912	63912	63912
datonly	2911	2911	2911
datonly	7426	7426	7426
datonly	61954	61954	61954
datonly	3220	3220	3220
datonly	47159	47159	47159
datonly	47228	47228	47228
datonly	9946	9946	9946
datonly	4930	4930	4930
datonly	66136	66136	66136
datonly	61044	61044	61044
datonly	9869	9869	9869
datonly	69231	69231	69231
datonly	2861	2861	2861
datonly	4499	4499	4499
datonly	2950	2950	2950
datonly	6778	6778	6778
datonly	52727	52727	52727
datonly	61491	61491	61491
datonly	5606	5606	5606
datonly	5535	5535	5535
datonly	4369	4369	4369
datonly	2684	2684	2684
datonly	9591	9591	9591
datonly	6733	6733	6733
datonly	2917	2917	2917
datonly	4996	4996	4996
datonly	4221	4221	4221
datonly	1199	1199	1199
datonly	4961	4961	4961
datonly	43592	43592	43592
datonly	2052	2052	2052
datonly	5784	5784	5784
datonly	8168	8168	8168
datonly	1860	1860	1860
datonly	1545	1545	1545
datonly	1210	1210	1210
datonly	5267	5267	5267
datonly	4825	4825	4825
datonly	9223	9223	9223
datonly	3934	3934	3934
datonly	4654	4654	4654
datonly	34474	34474	34474
datonly	4501	4501	4501
datonly	3722	3722	3722
datonly	5772	5772	5772
datonly	53303	53303	53303
datonly	3711	3711	3711
datonly	2212	2212	2212
datonly	4548	4548	4548
datonly	1268	1268	1268
datonly	8738	8738	8738
datonly	68749	68749	68749
datonly	92	92	92
datonly	44256	44256	44256
datonly	9529	9529	9529
datonly	47132	47132	47132
datonly	39179	39179	39179
datonly	3366	3366	3366
datonly	9995	9995	9995
datonly	40122	40122	40122
datonly	60833	60833	60833
datonly	4142	4142	4142
datonly	1307	1307	1307
datonly	3293	3293	3293
datonly	52244	52244	52244
datonly	1708	1708	1708
datonly	3305	3305	3305
datonly	2196	2196	2196
datonly	5048	5048	5048
datonly	1334	1334	1334
datonly	50162	50162	50162
datonly	1339	1339	1339
datonly	5899	5899	5899
datonly	1342	1342	1342
datonly	53965	53965	53965
datonly	3166	3166	3166
datonly	613	613	613
datonly	8584	8584	8584
datonly	69232	69232	69232
datonly	53966	53966	53966
datonly	5001	5001	5001
datonly	1380	1380	1380
datonly	3538	3538	3538
datonly	41058	41058	41058
datonly	4789	4789	4789
datonly	53171	53171	53171
datonly	1917	1917	1917
datonly	57585	57585	57585
datonly	4962	4962	4962
datonly	60844	60844	60844
datonly	54890	54890	54890
datonly	40119	40119	40119
datonly	59360	59360	59360
datonly	53963	53963	53963
datonly	61048	61048	61048
datonly	68774	68774	68774
datonly	56353	56353	56353
datonly	33867	33867	33867
datonly	4580	4580	4580
datonly	47158	47158	47158
datonly	60832	60832	60832
datonly	4364	4364	4364
datonly	36954	36954	36954
datonly	2795	2795	2795
datonly	3821	3821	3821
datonly	4582	4582	4582
datonly	5914	5914	5914
datonly	1706	1706	1706
datonly	5569	5569	5569
datonly	36749	36749	36749
datonly	4871	4871	4871
datonly	4870	4870	4870
datonly	1430	1430	1430
datonly	5666	5666	5666
datonly	6535	6535	6535
datonly	9791	9791	9791
datonly	5255	5255	5255
datonly	4867	4867	4867
datonly	6584	6584	6584
datonly	4787	4787	4787
datonly	2636	2636	2636
datonly	2546	2546	2546
datonly	4740	4740	4740
datonly	60100	60100	60100
datonly	4449	4449	4449
datonly	4758	4758	4758
datonly	1459	1459	1459
datonly	2816	2816	2816
datonly	45859	45859	45859
datonly	1462	1462	1462
datonly	1463	1463	1463
datonly	52942	52942	52942
datonly	5676	5676	5676
datonly	2108	2108	2108
datonly	53993	53993	53993
datonly	6699	6699	6699
datonly	4480	4480	4480
datonly	697	697	697
datonly	9669	9669	9669
datonly	4079	4079	4079
datonly	57094	57094	57094
datonly	9461	9461	9461
datonly	2556	2556	2556
datonly	5764	5764	5764
datonly	4194	4194	4194
datonly	5877	5877	5877
datonly	53098	53098	53098
datonly	4939	4939	4939
datonly	1489	1489	1489
datonly	9792	9792	9792
datonly	52986	52986	52986
datonly	67485	67485	67485
datonly	4455	4455	4455
datonly	69167	69167	69167
datonly	55701	55701	55701
datonly	32273	32273	32273
datonly	9374	9374	9374
datonly	5875	5875	5875
datonly	1521	1521	1521
datonly	4974	4974	4974
datonly	8198	8198	8198
datonly	60643	60643	60643
datonly	5673	5673	5673
datonly	5794	5794	5794
datonly	4399	4399	4399
datonly	2895	2895	2895
datonly	2056	2056	2056
datonly	2853	2853	2853
datonly	56445	56445	56445
datonly	38016	38016	38016
datonly	442	442	442
datonly	4125	4125	4125
datonly	54139	54139	54139
datonly	1540	1540	1540
datonly	1543	1543	1543
datonly	35123	35123	35123
datonly	3172	3172	3172
datonly	4375	4375	4375
datonly	788	788	788
datonly	831	831	831
datonly	2031	2031	2031
datonly	53279	53279	53279
datonly	4750	4750	4750
datonly	9243	9243	9243
datonly	8098	8098	8098
datonly	56597	56597	56597
datonly	9720	9720	9720
datonly	7687	7687	7687
